,Номенклатура,Цена,Количество,Сумма,total чека,Дата покупки,retailPlace,retailPlaceAddress,organization-name,organization-inn,seller-name,seller-inn,Полный чек (http://jsonviewer.stack.hu/),qr-code (single),qr-code,added_user_id,id категории
,БЗМЖ Мороженое Палета Эквадорский кокос и ,"129,7",1,"129,7","3685,07",2021-03-19T16:25,Торговый зал,"630128, г.Новосибирск, ул. Кутателадзе, 4/4","ООО ""Русская поварня""",5403044264,"ООО ""Русская поварня""",5403044264,,,,,
,Лед Палета Малина и садовая мята к/к 70г,"94,7",1,"94,7","3685,07",2021-03-19T16:25,Торговый зал,"630128, г.Новосибирск, ул. Кутателадзе, 4/4","ООО ""Русская поварня""",5403044264,"ООО ""Русская поварня""",5403044264,,,,,
,БЗМЖ Молоко Ирмень 2.5% т/п/крыш 950г,"61,9",2,"123,8","3685,07",2021-03-19T16:25,Торговый зал,"630128, г.Новосибирск, ул. Кутателадзе, 4/4","ООО ""Русская поварня""",5403044264,"ООО ""Русская поварня""",5403044264,,,,,
,БЗМЖ Сыр Чергинский МСЗ Российский 1кг вес,"376,39","0,338","127,22","3685,07",2021-03-19T16:25,Торговый зал,"630128, г.Новосибирск, ул. Кутателадзе, 4/4","ООО ""Русская поварня""",5403044264,"ООО ""Русская поварня""",5403044264,,,,,
,Помидоры Черри 500г,"289,9",1,"289,9","3685,07",2021-03-19T16:25,Торговый зал,"630128, г.Новосибирск, ул. Кутателадзе, 4/4","ООО ""Русская поварня""",5403044264,"ООО ""Русская поварня""",5403044264,,,,,
,Варенька к чаю 1кг вес,599,"0,242","144,96","3685,07",2021-03-19T16:25,Торговый зал,"630128, г.Новосибирск, ул. Кутателадзе, 4/4","ООО ""Русская поварня""",5403044264,"ООО ""Русская поварня""",5403044264,,,,,
,Пирог с кетой и картофелем пластовой 1кг в,599,"0,364","218,04","3685,07",2021-03-19T16:25,Торговый зал,"630128, г.Новосибирск, ул. Кутателадзе, 4/4","ООО ""Русская поварня""",5403044264,"ООО ""Русская поварня""",5403044264,,,,,
,Пирог с кетой и картофелем пластовой 1кг в,599,"0,502","300,7","3685,07",2021-03-19T16:25,Торговый зал,"630128, г.Новосибирск, ул. Кутателадзе, 4/4","ООО ""Русская поварня""",5403044264,"ООО ""Русская поварня""",5403044264,,,,,
,Капуста квашеная 900г,"139,9",1,"139,9","3685,07",2021-03-19T16:25,Торговый зал,"630128, г.Новосибирск, ул. Кутателадзе, 4/4","ООО ""Русская поварня""",5403044264,"ООО ""Русская поварня""",5403044264,,,,,
,Картошка 50г,"26,9",2,"53,8","3685,07",2021-03-19T16:25,Торговый зал,"630128, г.Новосибирск, ул. Кутателадзе, 4/4","ООО ""Русская поварня""",5403044264,"ООО ""Русская поварня""",5403044264,,,,,
,Рулет маковый 300г,"137,9",1,"137,9","3685,07",2021-03-19T16:25,Торговый зал,"630128, г.Новосибирск, ул. Кутателадзе, 4/4","ООО ""Русская поварня""",5403044264,"ООО ""Русская поварня""",5403044264,,,,,
,Колбаса Брюкке Брауншвейгская с сыром п/к ,"506,74","0,322","163,17","3685,07",2021-03-19T16:25,Торговый зал,"630128, г.Новосибирск, ул. Кутателадзе, 4/4","ООО ""Русская поварня""",5403044264,"ООО ""Русская поварня""",5403044264,,,,,
,Томаты Ташкент 1кг вес,"349,9","0,552","193,14","3685,07",2021-03-19T16:25,Торговый зал,"630128, г.Новосибирск, ул. Кутателадзе, 4/4","ООО ""Русская поварня""",5403044264,"ООО ""Русская поварня""",5403044264,,,,,
,Пирожок с печенью 70г,"39,9",3,"119,7","3685,07",2021-03-19T16:25,Торговый зал,"630128, г.Новосибирск, ул. Кутателадзе, 4/4","ООО ""Русская поварня""",5403044264,"ООО ""Русская поварня""",5403044264,,,,,
,Пирожок жареный с картофелем и грибами 105,"37,9",1,"37,9","3685,07",2021-03-19T16:25,Торговый зал,"630128, г.Новосибирск, ул. Кутателадзе, 4/4","ООО ""Русская поварня""",5403044264,"ООО ""Русская поварня""",5403044264,,,,,
,Самса с курицей 100г,"46,9",3,"140,7","3685,07",2021-03-19T16:25,Торговый зал,"630128, г.Новосибирск, ул. Кутателадзе, 4/4","ООО ""Русская поварня""",5403044264,"ООО ""Русская поварня""",5403044264,,,,,
,Багет Артизан ржаной 200г,"30,9",1,"30,9","3685,07",2021-03-19T16:25,Торговый зал,"630128, г.Новосибирск, ул. Кутателадзе, 4/4","ООО ""Русская поварня""",5403044264,"ООО ""Русская поварня""",5403044264,,,,,
,Пирожок с капустой и яйцом 70г,"24,9",3,"74,7","3685,07",2021-03-19T16:25,Торговый зал,"630128, г.Новосибирск, ул. Кутателадзе, 4/4","ООО ""Русская поварня""",5403044264,"ООО ""Русская поварня""",5403044264,,,,,
,Пирожок с картофелем и грибами 70г,"29,7",2,"59,4","3685,07",2021-03-19T16:25,Торговый зал,"630128, г.Новосибирск, ул. Кутателадзе, 4/4","ООО ""Русская поварня""",5403044264,"ООО ""Русская поварня""",5403044264,,,,,
,Укроп 1кг вес,"499,9","0,088","43,99","3685,07",2021-03-19T16:25,Торговый зал,"630128, г.Новосибирск, ул. Кутателадзе, 4/4","ООО ""Русская поварня""",5403044264,"ООО ""Русская поварня""",5403044264,,,,,
,Лук зеленый 1кг вес,"469,9","0,184","86,46","3685,07",2021-03-19T16:25,Торговый зал,"630128, г.Новосибирск, ул. Кутателадзе, 4/4","ООО ""Русская поварня""",5403044264,"ООО ""Русская поварня""",5403044264,,,,,
,Редис пучковой 1кг вес,"319,9","0,182","58,22","3685,07",2021-03-19T16:25,Торговый зал,"630128, г.Новосибирск, ул. Кутателадзе, 4/4","ООО ""Русская поварня""",5403044264,"ООО ""Русская поварня""",5403044264,,,,,
,Яблоки Гренни 1кг вес,"149,9","0,508","76,15","3685,07",2021-03-19T16:25,Торговый зал,"630128, г.Новосибирск, ул. Кутателадзе, 4/4","ООО ""Русская поварня""",5403044264,"ООО ""Русская поварня""",5403044264,,,,,
,Петрушка 1кг вес,"499,9","0,06","29,99","3685,07",2021-03-19T16:25,Торговый зал,"630128, г.Новосибирск, ул. Кутателадзе, 4/4","ООО ""Русская поварня""",5403044264,"ООО ""Русская поварня""",5403044264,,,,,
,Перец желтый 1кг вес,"329,89","0,274","90,39","3685,07",2021-03-19T16:25,Торговый зал,"630128, г.Новосибирск, ул. Кутателадзе, 4/4","ООО ""Русская поварня""",5403044264,"ООО ""Русская поварня""",5403044264,,,,,
,Перец Болгарский 1кг вес,"399,9","0,252","100,77","3685,07",2021-03-19T16:25,Торговый зал,"630128, г.Новосибирск, ул. Кутателадзе, 4/4","ООО ""Русская поварня""",5403044264,"ООО ""Русская поварня""",5403044264,,,,,
,Апельсины 1кг вес,"109,9","0,702","77,15","3685,07",2021-03-19T16:25,Торговый зал,"630128, г.Новосибирск, ул. Кутателадзе, 4/4","ООО ""Русская поварня""",5403044264,"ООО ""Русская поварня""",5403044264,,,,,
,Бананы 1кг вес,"119,9","0,756","90,64","3685,07",2021-03-19T16:25,Торговый зал,"630128, г.Новосибирск, ул. Кутателадзе, 4/4","ООО ""Русская поварня""",5403044264,"ООО ""Русская поварня""",5403044264,,,,,
,Огурцы среднеплодные 1кг вес,"129,9","0,494","64,17","3685,07",2021-03-19T16:25,Торговый зал,"630128, г.Новосибирск, ул. Кутателадзе, 4/4","ООО ""Русская поварня""",5403044264,"ООО ""Русская поварня""",5403044264,,,,,
,Кетчуп HEINZ Томатный 350г дойпак,"84,98",1,"84,98","1196,95",2021-04-06T12:00,Торговый зал,"630090,НОВОСИБИРСК,УЛ.ТЕРЕШКОВОЙ,19а","ООО ""Камелот-А""",7017187800,"ООО ""Камелот-А""",7017187800,"{'status': 2, 'id': '606eb2e10361cb161fe0d9e5', 'kind': 'kkt', 'createdAt': '2021-04-10T08:01:45+03:00', 'statusDescription': {}, 'qr': 't=20210406T1200&s=1196.95&fn=9280440300547355&i=125113&fp=2933084264&n=1', 'operation': {'date': '2021-04-06T12:00', 'type': 1, 'sum': 119695}, 'process': [{'time': '2021-04-08T07:38:11+00:00', 'result': 2}], 'query': {'operationType': 1, 'sum': 119695, 'documentId': 125113, 'fsId': '9280440300547355', 'fiscalSign': '2933084264', 'date': '2021-04-06T12:00'}, 'ticket': {'document': {'receipt': {'dateTime': 1617699600, 'cashTotalSum': 0, 'code': 3, 'creditSum': 0, 'ecashTotalSum': 119695, 'fiscalDocumentFormatVer': 2, 'fiscalDocumentNumber': 125113, 'fiscalDriveNumber': '9280440300547355', 'fiscalSign': 2933084264, 'fnsUrl': 'www.nalog.ru', 'items': [{'name': 'Кетчуп HEINZ Томатный 350г дойпак', 'nds': 1, 'ndsSum': 1416, 'paymentType': 4, 'price': 8498, 'productType': 1, 'quantity': 1, 'sum': 8498}, {'name': 'Пакет-майка ПНД 29х54 20мкм ""Акции ЯРЧЕ""', 'nds': 1, 'ndsSum': 33, 'paymentType': 4, 'price': 200, 'productType': 1, 'quantity': 1, 'sum': 200}, {'name': 'Кофе JULIUS MEINL Президент зерно 500г', 'nds': 1, 'ndsSum': 18500, 'paymentType': 4, 'price': 36999, 'productType': 1, 'quantity': 3, 'sum': 110997}], 'kktRegId': '0001567329041967    ', 'nds18': 19949, 'operationType': 1, 'operator': 'Кассир: Павлова Н.', 'prepaidSum': 0, 'provisionSum': 0, 'requestNumber': 52, 'retailPlace': 'Торговый зал', 'retailPlaceAddress': '630090,НОВОСИБИРСК,УЛ.ТЕРЕШКОВОЙ,19а', 'shiftNumber': 446, 'taxationType': 1, 'appliedTaxationType': 1, 'totalSum': 119695, 'user': 'ООО ""Камелот-А""', 'userInn': '7017187800  '}}}, 'organization': {'name': 'ООО ""Камелот-А""', 'inn': '7017187800'}, 'seller': {'name': 'ООО ""Камелот-А""', 'inn': '7017187800'}}",t=20210406T1200&s=1196.95&fn=9280440300547355&i=125113&fp=2933084264&n=1,,,
,"Пакет-майка ПНД 29х54 20мкм ""Акции ЯРЧЕ""",2,1,2,"1196,95",2021-04-06T12:00,Торговый зал,"630090,НОВОСИБИРСК,УЛ.ТЕРЕШКОВОЙ,19а","ООО ""Камелот-А""",7017187800,"ООО ""Камелот-А""",7017187800,,,,,
,Кофе JULIUS MEINL Президент зерно 500г,"369,99",3,"1109,97","1196,95",2021-04-06T12:00,Торговый зал,"630090,НОВОСИБИРСК,УЛ.ТЕРЕШКОВОЙ,19а","ООО ""Камелот-А""",7017187800,"ООО ""Камелот-А""",7017187800,,,,,
